"9","0","0","0","0","0","2001","98","1070","K 45/07"
"2","0","0","0","0","0","1997","78","483","K 45/07"
"10","0","0","0","0","0","1997","78","483","K 45/07"
"45","0","1","0","0","0","1997","78","483","K 45/07"
"173","0","0","0","0","0","1997","78","483","K 45/07"
"176","0","2","0","0","0","1997","78","483","K 45/07"
"178","0","1","0","0","0","1997","78","483","K 45/07"
"22","6","0","0","0","0","2001","98","1070","K 45/07"
"10","0","1","0","0","0","1997","78","483","K 45/07"
"45","0","1","0","0","0","1997","78","483","K 45/07"
"173","0","0","0","0","0","1997","78","483","K 45/07"
"37","2","0","0","0","0","2001","98","1070","K 45/07"
"37","3","0","0","0","0","2001","98","1070","K 45/07"
"37","4","0","0","0","0","2001","98","1070","K 45/07"
"10","0","1","0","0","0","1997","78","483","K 45/07"
"173","0","0","0","0","0","1997","78","483","K 45/07"
"37","4","0","0","0","0","2001","98","1070","K 45/07"
"178","0","1","0","0","0","1997","78","483","K 45/07"
"40","1","0","0","0","0","2001","98","1070","K 45/07"
"2","0","0","0","0","0","1997","78","483","K 45/07"
"56","2","0","0","0","0","2001","98","1070","K 45/07"
"10","0","1","0","0","0","1997","78","483","K 45/07"
"173","0","0","0","0","0","1997","78","483","K 45/07"
"178","0","0","0","0","0","1997","78","483","K 45/07"
"77","1","0","0","0","0","2001","98","1070","K 45/07"
"77","2","0","0","0","0","2001","98","1070","K 45/07"
"77","2a","0","0","0","0","2001","98","1070","K 45/07"
"77","3","0","0","0","0","2001","98","1070","K 45/07"
"77","3a","0","0","0","0","2001","98","1070","K 45/07"
"77","7a","0","0","0","0","2001","98","1070","K 45/07"
"77","7b","0","0","0","0","2001","98","1070","K 45/07"
"10","0","1","0","0","0","1997","78","483","K 45/07"
"45","0","1","0","0","0","1997","78","483","K 45/07"
"173","0","0","0","0","0","1997","78","483","K 45/07"
"180","0","2","0","0","0","1997","78","483","K 45/07"
"80","2g","0","0","0","0","2001","98","1070","K 45/07"
"32","0","1","0","0","0","1997","78","483","K 45/07"
"42","0","2","0","0","0","1997","78","483","K 45/07"
"45","0","1","0","0","0","1997","78","483","K 45/07"
"80","2h","0","0","0","0","2001","98","1070","K 45/07"
"32","0","1","0","0","0","1997","78","483","K 45/07"
"42","0","2","0","0","0","1997","78","483","K 45/07"
"176","0","1","0","0","0","1997","78","483","K 45/07"
"181","0","0","0","0","0","1997","78","483","K 45/07"
"80a","1-5","0","0","0","0","2001","98","1070","K 45/07"
"80b","1-6","0","0","0","0","2001","98","1070","K 45/07"
"80c","0","0","0","0","0","2001","98","1070","K 45/07"
"80d","1","0","0","0","0","2001","98","1070","K 45/07"
"80d","2","0","0","0","0","2001","98","1070","K 45/07"
"110","2","0","0","0","0","2001","98","1070","K 45/07"
"2","0","0","0","0","0","1997","78","483","K 45/07"
"7","0","0","0","0","0","1997","78","483","K 45/07"
"10","0","1","0","0","0","1997","78","483","K 45/07"
"186","0","1","0","0","0","1997","78","483","K 45/07"
"80a","3","0","0","0","0","2001","98","1070","K 45/07"
"80a","4","0","0","0","0","2001","98","1070","K 45/07"
"31","0","3","0","0","0","1997","78","483","K 45/07"
"181","0","0","0","0","0","1997","78","483","K 45/07"
"80","2f","0","0","0","0","2001","98","1070","K 45/07"
"80b","3","0","0","0","0","2001","98","1070","K 45/07"
"42","0","2","0","0","0","1997","78","483","K 45/07"
"45","0","1","0","0","0","1997","78","483","K 45/07"
"130","1","0","0","0","0","2001","98","1070","K 45/07"
"130","2","0","0","0","0","2001","98","1070","K 45/07"
"130","3","0","0","0","0","2001","98","1070","K 45/07"
"10","0","1","0","0","0","1997","78","483","K 45/07"
"173","0","0","0","0","0","1997","78","483","K 45/07"
"180","0","2","0","0","0","1997","78","483","K 45/07"
"0","0","0","0","0","0","2001","98","1070","K 45/07"
"2","0","0","0","0","0","1997","78","483","K 45/07"
"10","0","0","0","0","0","1997","78","483","K 45/07"
"173","0","0","0","0","0","1997","78","483","K 45/07"
"176","0","2","0","0","0","1997","78","483","K 45/07"
"178","0","1","0","0","0","1997","78","483","K 45/07"
"45","0","1","0","0","0","1997","78","483","K 45/07"
"0","6","0","0","0","0","2001","98","1070","K 45/07"
"10","0","1","0","0","0","1997","78","483","K 45/07"
"173","0","0","0","0","0","1997","78","483","K 45/07"
"178","0","1","0","0","0","1997","78","483","K 45/07"
"0","1","0","0","0","0","2001","98","1070","K 45/07"
"0","2","0","0","0","0","2001","98","1070","K 45/07"
"180","0","2","0","0","0","1997","78","483","K 45/07"
"0","7a","0","0","0","0","2001","98","1070","K 45/07"
"0","7b","0","0","0","0","2001","98","1070","K 45/07"
"0","2h","0","0","0","0","2001","98","1070","K 45/07"
"42","0","2","0","0","0","1997","78","483","K 45/07"
"181","0","0","0","0","0","1997","78","483","K 45/07"
"39","0","1","1","0","0","1997","102","643","K 45/07"
"39","0","0","0","0","0","2001","98","1070","K 45/07"
"10","0","0","0","0","0","1997","78","483","K 45/07"
"173","0","0","0","0","0","1997","78","483","K 45/07"
"176","0","2","0","0","0","1997","78","483","K 45/07"
"37","2","0","0","0","0","2001","98","1070","K 45/07"
"37","1","0","0","0","0","2001","98","1070","K 45/07"
"10","0","0","0","0","0","1997","78","483","K 45/07"
"173","0","0","0","0","0","1997","78","483","K 45/07"
"37","0","4","0","0","0","2001","98","1070","K 45/07"
"77","0","1","0","0","0","2001","98","1070","K 45/07"
"77","0","2","0","0","0","2001","98","1070","K 45/07"
"77","0","2a","0","0","0","2001","98","1070","K 45/07"
"77","0","3","0","0","0","2001","98","1070","K 45/07"
